LABEL,X,Y,Z
0,484509.42335649306,7504814.023391599,125.92851257324219
1,495191.49913781235,7495427.293925829,176.5820770263672
2,486361.88497610705,7494874.828105259,194.17007446289062
3,483326.8992000113,7500659.094588576,138.01060485839844
4,488032.1341777372,7503699.46826234,211.8229522705078
5,488353.35693459306,7496855.379606496,460.48150634765625
6,488853.3456536973,7494739.236532227,329.4394226074219
7,492117.7404642278,7491745.419605628,285.43365478515625
