,id,geometry,lon,lat,z
0,0,POINT (-156.7156613980241 71.29993475110652),367113.02614373923,7914932.117639962,4.01240873336792
1,1,POINT (-156.7954045903286 71.28486903092058),364158.97269301,7913431.833250497,12.3786039352417
2,2,POINT (-156.5683313975167 71.25791525957081),372100.24570420367,7909935.426220278,3.3243465423583984
3,3,POINT (-153.8375298287185 70.72190844524147),469139.66582892503,7846594.658683991,4.183590412139893
